E_γ[eV]  opacity[cm^2/g]
8.2842e+0 6.3358e+0
8.4166e+0 6.2254e+0
8.4288e+0 7.1319e+0
8.5081e+0 6.8161e+0
8.5265e+0 8.5492e+0
8.5376e+0 9.7645e+0
8.5746e+0 7.5080e+0
8.6006e+0 1.1136e+1
8.6068e+0 1.3315e+1
8.6753e+0 8.4215e+0
8.6878e+0 9.8439e+0
8.7192e+0 7.3143e+0
8.7696e+0 1.0249e+1
8.7886e+0 8.8121e+0
8.7924e+0 6.3208e+0
8.8077e+0 7.5768e+0
8.8382e+0 5.6355e+0
8.9162e+0 4.9020e+0
8.9808e+0 5.7301e+0
9.0504e+0 4.9643e+0
9.1507e+0 4.5229e+0
9.2654e+0 5.2737e+0
9.2768e+0 6.3217e+0
9.3090e+0 4.4129e+0
9.4469e+0 4.2688e+0
9.5207e+0 4.0186e+0
9.6729e+0 3.7832e+0
9.6749e+0 4.3340e+0
9.8346e+0 3.7549e+0
