E_γ[eV]  opacity[cm^2/g]
3.1425e+0 1.0096e+1
3.2143e+0 9.1185e+0
3.2877e+0 9.3642e+0
3.3629e+0 1.0415e+1
3.4398e+0 1.1843e+1
3.5184e+0 1.2657e+1
3.5987e+0 1.2162e+1
3.6705e+0 1.0664e+1
3.7191e+0 9.2005e+0
3.7542e+0 8.0200e+0
3.7968e+0 6.7475e+0
3.8398e+0 5.5526e+0
3.8833e+0 4.4890e+0
3.9163e+0 3.8273e+0
3.9495e+0 3.1775e+0
3.9942e+0 2.5689e+0
4.0395e+0 2.1328e+0
4.1084e+0 1.8130e+0
4.1904e+0 1.6350e+0
4.2861e+0 1.5992e+0
4.3840e+0 1.6643e+0
4.4842e+0 1.7320e+0
4.5867e+0 1.8105e+0
4.6915e+0 1.9094e+0
4.7987e+0 2.0136e+0
4.9084e+0 2.1616e+0
5.0206e+0 2.3514e+0
5.1354e+0 2.6037e+0
5.2528e+0 2.8324e+0
5.3728e+0 2.9087e+0
5.4955e+0 2.8324e+0
5.6210e+0 2.6740e+0
5.7494e+0 2.5581e+0
5.8807e+0 2.5244e+0
6.0151e+0 2.5810e+0
6.1525e+0 2.6156e+0
6.2931e+0 2.5811e+0
6.4368e+0 2.4912e+0
6.5839e+0 2.3623e+0
6.7342e+0 2.2203e+0
6.8880e+0 2.0960e+0
7.0453e+0 1.9788e+0
7.2062e+0 1.8516e+0
7.3708e+0 1.6946e+0
7.5391e+0 1.5578e+0
7.7112e+0 1.4007e+0
7.8872e+0 1.2428e+0
8.0673e+0 1.1076e+0
8.2282e+0 9.8715e-1
8.3687e+0 8.7201e-1
8.5115e+0 7.7029e-1
8.6568e+0 6.7643e-1
8.8046e+0 5.9401e-1
8.9548e+0 5.1551e-1
9.1076e+0 4.4474e-1
9.2631e+0 3.7919e-1
9.4212e+0 3.2713e-1
9.6090e+0 2.7686e-1
9.8284e+0 2.4784e-1
